Symbol|Security Name|Market Category|Financial Status|Round Lot Size|ETF
AACB|Artius II Acquisition Inc. - Class A Ordinary Shares|G|N|100|N
AACBR|Artius II Acquisition Inc. - Rights|G|N|100|N
AACBU|Artius II Acquisition Inc. - Units|G|N|100|N
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|S|D|100|N
AACIU|Armada Acquisition Corp. II - Units|G|N|100|N
AADR|AdvisorShares Dorsey Wright ADR ETF|G|N|100|Y
AAL|American Airlines Group, Inc. - Common Stock|Q|N|100|N
AAME|Atlantic American Corporation - Common Stock|G|N|100|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|100|N
AAON|AAON, Inc. - Common Stock|Q|N|100|N
AAPB|GraniteShares 2x Long AAPL Daily ETF|G|N|100|Y
AAPD|Direxion Daily AAPL Bear 1X Shares|G|N|100|Y
AAPG|Ascentage Pharma Group International - American Depository Shares|G|N|100|N
AAPL|Apple Inc. - Common Stock|Q|N|100|N
AAPU|Direxion Daily AAPL Bull 2X Shares|G|N|100|Y
AARD|Aardvark Therapeutics, Inc. - Common Stock|Q|N|100|N
AAVM|Alpha Architect Global Factor Equity ETF|G|N|100|Y
AAXJ|iShares MSCI All Country Asia ex Japan ETF|G|N|100|Y
ABAT|American Battery Technology Company - Common Stock|S|N|100|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|100|N
ABCS|Alpha Blue Capital US Small-Mid Cap Dynamic ETF|G|N|100|Y
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|100|N
ABIG|Argent Large Cap ETF|G|N|100|Y
ABL|Abacus Global Management, Inc. - Class A Common Stock|S|N|100|N
ABLLL|Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028|G|N|100|N
ABLLW|Abacus Global Management, Inc. - Warrant|S|N|100|N
ABLV|Able View Global Inc. - Class B Ordinary Shares|S|N|100|N
ABLVW|Able View Global Inc. - Warrant|S|N|100|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|100|N
ABOS|Acumen Pharmaceuticals, Inc. - Common Stock|Q|N|100|N
ABP|Abpro Holdings, Inc - Common Stock|G|D|100|N
ABPWW|Abpro Holdings, Inc - Warrant|S|N|100|N
ABSI|Absci Corporation - Common Stock|Q|N|100|N
ABTS|Abits Group Inc - Ordinary Shares|S|N|100|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|100|N
ABVC|ABVC BioPharma, Inc. - Common Stock|S|N|100|N
ABVE|Above Food Ingredients Inc. - Common Stock|G|N|100|N
ABVEW|Above Food Ingredients Inc. - Warrant|G|N|100|N
ABVX|Abivax SA - American Depositary Shares|G|N|100|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|100|N
ACB|Aurora Cannabis Inc. - Common Shares|S|N|100|N
ACDC|ProFrac Holding Corp. - Class A Common Stock|Q|N|100|N
ACET|Adicet Bio, Inc. - Common Stock|G|D|100|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|100|N
ACGLN|Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G|Q|N|100|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|100|N
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|N|100|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|S|N|100|N
ACIC|American Coastal Insurance Corporation - Common Stock|S|N|100|N
ACIU|AC Immune SA - Common Stock|G|N|100|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|100|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|100|N
ACLX|Arcellx, Inc. - Common Stock|Q|N|100|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|100|N
ACNB|ACNB Corporation - Common Stock|S|N|100|N
ACNT|Ascent Industries Co. - Common Stock|G|N|100|N
ACOG|Alpha Cognition Inc. - Common Stock|S|N|100|N
ACON|Aclarion, Inc. - Common Stock|S|N|100|N
ACONW|Aclarion, Inc. - Warrant|S|N|100|N
ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|N|100|N
ACRV|Acrivon Therapeutics, Inc. - Common Stock|G|N|100|N
ACT|Enact Holdings, Inc. - Common Stock|Q|N|100|N
ACTG|Acacia Research Corporation - Common Stock|Q|N|100|N
ACTU|Actuate Therapeutics, Inc. - Common stock|G|N|100|N
ACWI|iShares MSCI ACWI ETF|G|N|100|Y
ACWX|iShares MSCI ACWI ex U.S. ETF|G|N|100|Y
ACXP|Acurx Pharmaceuticals, Inc. - Common Stock|S|D|100|N
ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares|G|N|100|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|S|D|100|N
ADBE|Adobe Inc. - Common Stock|Q|N|100|N
ADBG|Leverage Shares 2X Long ADBE Daily ETF|G|N|100|Y
ADD|Color Star Technology Co., Ltd. - Class A Ordinary Shares|S|N|100|N
ADEA|Adeia Inc.  - Common Stock|Q|N|100|N
ADGM|Adagio Medical Holdings, Inc - Common Stock|S|D|100|N
ADI|Analog Devices, Inc. - Common Stock|Q|N|100|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|S|D|100|N
ADMA|ADMA Biologics Inc - Common Stock|G|N|100|N
ADN|Advent Technologies Holdings, Inc. - Class A Common Stock|S|E|100|N
